x phi
1.0107 1.06253
1.01609 1.05712
1.0226 1.04561
1.02696 1.03342
1.03354 1.0165
1.03574 1.00228
1.03684 0.99551
1.03905 0.98196
1.04682 0.96707
1.05352 0.95488
1.05914 0.94337
1.06366 0.92916
1.06479 0.91426
1.0682 0.89733
1.06933 0.8892
1.07275 0.87837
1.07962 0.86889
1.08769 0.85265
1.08885 0.84113
1.0935 0.82759
1.09933 0.8127
1.10284 0.80322
1.10873 0.79171
1.11346 0.78088
1.1194 0.77275
1.12537 0.76124
1.12776 0.74499
1.13499 0.73416
1.14835 0.72333
1.15447 0.71318
1.1594 0.70031
1.17056 0.68339
1.18812 0.67188
1.20724 0.66174
1.21626 0.65361
1.22927 0.64482
1.24772 0.63738
1.25839 0.63467
1.27592 0.62926
1.29645 0.62589
1.3173 0.62251
1.33992 0.61913
1.36148 0.61508
1.36729 0.61441
1.3967 0.61171
1.42068 0.61172
1.48087 0.60903
1.49671 0.60904
1.53543 0.60906
1.57179 0.60907
1.59199 0.60908
1.63143 0.60909
1.66298 0.6091
1.69514 0.60911
1.7316 0.60845
1.75759 0.60846
1.79348 0.60847
1.82428 0.60713
1.8556 0.60646
1.88545 0.60511
1.91579 0.60445
1.95283 0.60243
1.9906 0.6004
2.01832 0.59906
2.06174 0.59772
2.08823 0.59569
2.12635 0.59096
2.17903 0.58014
2.26652 0.57339
2.31035 0.56596
2.34752 0.55987
2.38529 0.55446
2.42367 0.54905
2.4522 0.54297
2.46528 0.53891
2.49166 0.53282
2.51831 0.52605
2.54254 0.51861
2.56155 0.51387
2.57521 0.50913
2.60553 0.50101
2.6306 0.49425
2.64182 0.49086
2.67577 0.4841
2.71593 0.47463
2.72751 0.47124
2.75376 0.46312
2.7714 0.45906
2.78618 0.45433
2.80701 0.44553
2.82499 0.43808
2.84914 0.42454
2.87044 0.41574
2.8919 0.4083
2.90114 0.40424
2.91352 0.39882
2.93842 0.39273
2.95096 0.38867
2.99206 0.3792
3.01764 0.37311
3.06619 0.35484
3.06945 0.35077
3.08911 0.34265
3.11221 0.33656
3.13881 0.32776
3.15556 0.32099
3.16901 0.3149
3.18931 0.30949
3.20632 0.30272
3.22343 0.29527
3.23373 0.29053
3.24753 0.28376
3.25791 0.27902
3.26485 0.27429
3.27529 0.26955
3.31385 0.26549
3.32444 0.25872
3.35643 0.24654
3.38513 0.23706
3.41043 0.22826
3.42498 0.22285
3.45426 0.21472
3.49493 0.20525
3.52106 0.19916
3.56251 0.19172
3.59679 0.18495
3.61983 0.18089
3.65077 0.17413
3.67415 0.17007
3.70162 0.16601
3.71741 0.16195
3.7452 0.15586
3.76117 0.15315
3.77722 0.15044
3.80141 0.14774
3.85846 0.13962
3.88317 0.13556
3.94985 0.12541
3.9921 0.11865
4.08665 0.10579
4.20129 0.0943
4.27798 0.08686
4.38396 0.08078
4.44503 0.07672
4.51174 0.07132
4.61369 0.06591
4.69291 0.06118
4.7837 0.0551
4.8658 0.04969
4.9388 0.04631
5.1044 0.04024
5.17 0.03821
5.2588 0.03551
5.3891 0.03146
5.505 0.02809
5.6655 0.02472
5.8992 0.02136
5.9941 0.02001
6.0971 0.01935
6.215 0.018
6.3961 0.01599
6.5128 0.01532
6.6317 0.01466
6.796 0.01196
6.9348 0.00994
7.0689 0.00928
7.2827 0.00862
7.392 0.00795
7.6806 0.00662
7.8208 0.00595
7.9636 0.00393
8.4077 0.00396
8.5977 0.00397
8.8388 0.00264
8.8577 0.00264
8.9715 0.00264
