E,y
1.83073,0.758837
1.8461,0.769802
1.86914,0.778333
1.87683,0.763718
1.89219,0.715
1.89988,0.695513
1.93061,0.710135
1.94597,0.691868
1.95366,0.672381
1.96134,0.644368
1.96902,0.624881
1.98439,0.620012
2.01512,0.635852
2.0228,0.601749
2.03817,0.568865
2.06121,0.546945
2.08426,0.55913
2.10731,0.538428
2.12268,0.497018
2.13804,0.478751
2.14572,0.471444
2.17646,0.484849
2.1995,0.458057
2.20719,0.43248
2.22255,0.408122
2.23024,0.399597
2.27633,0.411787
2.29938,0.391085
2.30706,0.366726
2.31475,0.350893
2.32243,0.338714
2.33011,0.332625
2.36853,0.344813
2.39157,0.33751
2.39926,0.316805
2.41462,0.296101
2.42999,0.28027
2.43767,0.272963
2.48377,0.286371
2.50682,0.276631
2.5145,0.268106
2.52218,0.248619
2.54523,0.231571
2.56059,0.224266
2.60669,0.237674
2.63742,0.221845
2.64511,0.207231
2.66815,0.191401
2.6912,0.182879
2.72193,0.192629
2.75266,0.201162
2.7834,0.188987
2.79108,0.174373
2.81413,0.162197
2.82949,0.154892
2.87559,0.165863
2.89864,0.17683
2.92937,0.170746
2.95242,0.15857
2.9601,0.145173
2.98315,0.140306
3.01388,0.142748
3.02156,0.152493
3.05229,0.162244
3.07534,0.16712
3.10607,0.1586
3.12912,0.143988
3.15985,0.137904
3.19827,0.14522
3.22131,0.158623
3.24436,0.169589
3.26741,0.170812
3.29814,0.164728
3.32119,0.156206
3.34424,0.147685
3.37497,0.147691
3.39802,0.153785
3.42107,0.169624
3.45948,0.18303
3.47485,0.189123
3.50558,0.187911
3.54399,0.176957
3.56704,0.170871
3.60545,0.16966
3.62082,0.175754
3.66691,0.201341
3.68996,0.214744
3.72069,0.222058
3.74374,0.222063
3.77447,0.217197
3.8052,0.208677
3.82825,0.203809
3.8513,0.203813
3.88203,0.214782
3.91276,0.224532
3.95118,0.246464
3.98959,0.263524
4.02032,0.267184
4.06642,0.262321
4.11252,0.252586
4.13556,0.248936
4.18934,0.258691
4.21239,0.270876
4.25081,0.287936
4.2969,0.311087
4.343,0.323277
4.3891,0.322068
4.42751,0.312331
4.48129,0.303815
4.51202,0.303821
4.55812,0.316011
4.58885,0.328197
4.63494,0.352567
4.68872,0.379374
4.73482,0.389127
4.78092,0.387918
4.85006,0.374533
4.91152,0.367237
4.95762,0.3709
5.01908,0.389183
5.08055,0.422082
5.15737,0.450111
5.21115,0.459866
5.27261,0.459878
5.32639,0.448927
5.37249,0.44041
5.4109,0.437981
5.44932,0.437989
5.51846,0.446528
5.55688,0.463588
5.62602,0.492834
5.6798,0.512333
5.74126,0.530616
5.77968,0.536714
5.84114,0.536726
5.91029,0.525777
6.00248,0.512397
6.03321,0.509967
6.10235,0.50998
6.16382,0.519737
6.22528,0.536801
6.27138,0.553863
6.32515,0.57458
6.3943,0.5953
6.45576,0.607492
6.51722,0.614812
6.58637,0.613608
6.67088,0.60388
6.70929,0.59658
6.74771,0.590497
6.80917,0.585637
6.86295,0.583211
6.92441,0.584442
7.00124,0.596637
7.07038,0.611267
7.12416,0.629548
7.20099,0.650269
7.26245,0.664898
7.35465,0.683186
7.40843,0.689287
7.50062,0.690523
7.6005,0.684453
7.70805,0.671075
7.8233,0.658918
7.90012,0.655279
7.96927,0.655292
7.98463,0.657731
