E,y
1.8329,0.0106803
1.86351,0.0108443
1.92475,0.0111357
1.98602,0.0113543
2.0626,0.0116639
2.16221,0.011937
2.24651,0.0121372
2.33854,0.0122463
2.41526,0.0122643
2.49202,0.0122094
2.60722,0.0120086
2.70717,0.0116255
2.82256,0.0110602
2.90726,0.0104949
3.00737,0.00978381
3.11522,0.00896333
3.19219,0.00848922
3.27694,0.00781461
3.38472,0.00712171
3.49249,0.00644703
3.60788,0.00588168
3.73865,0.00526162
3.87704,0.00471443
4.07688,0.00407593
4.29967,0.00354672
4.49938,0.00314516
4.76817,0.00270695
5.06761,0.00234155
5.32864,0.00208562
5.74317,0.0017381
6.173,0.0014999
6.79468,0.00120646
7.37027,0.00102251
7.96887,0.000856714
